team,season,stadium_type,division
ARI,2020,retractable,nfc_west
ATL,2020,retractable,nfc_south
BAL,2020,outdoor,afc_north
BUF,2020,outdoor,afc_east
CAR,2020,outdoor,nfc_south
CHI,2020,outdoor,nfc_north
CIN,2020,outdoor,afc_north
CLE,2020,outdoor,afc_north
DAL,2020,retractable,nfc_east
DEN,2020,outdoor,afc_west
DET,2020,indoor,nfc_north
GB,2020,outdoor,nfc_north
HOU,2020,retractable,afc_south
IND,2020,retractable,afc_south
JAX,2020,outdoor,afc_south
KC,2020,outdoor,afc_west
LA,2020,indoor,nfc_west
LAC,2020,indoor,afc_west
LV,2020,indoor,afc_west
MIA,2020,outdoor,afc_east
MIN,2020,indoor,nfc_north
NE,2020,outdoor,afc_east
NO,2020,indoor,nfc_south
NYG,2020,outdoor,nfc_east
NYJ,2020,outdoor,afc_east
PHI,2020,outdoor,nfc_east
PIT,2020,outdoor,afc_north
SEA,2020,outdoor,nfc_west
SF,2020,outdoor,nfc_west
TB,2020,outdoor,nfc_south
TEN,2020,outdoor,afc_south
WAS,2020,outdoor,nfc_east
ARI,2019,retractable,nfc_west
ATL,2019,retractable,nfc_south
BAL,2019,outdoor,afc_north
BUF,2019,outdoor,afc_east
CAR,2019,outdoor,nfc_south
CHI,2019,outdoor,nfc_north
CIN,2019,outdoor,afc_north
CLE,2019,outdoor,afc_north
DAL,2019,retractable,nfc_east
DEN,2019,outdoor,afc_west
DET,2019,indoor,nfc_north
GB,2019,outdoor,nfc_north
HOU,2019,retractable,afc_south
IND,2019,retractable,afc_south
JAX,2019,outdoor,afc_south
KC,2019,outdoor,afc_west
LA,2019,outdoor,nfc_west
LAC,2019,outdoor,afc_west
MIA,2019,outdoor,afc_east
MIN,2019,indoor,nfc_north
NE,2019,outdoor,afc_east
NO,2019,indoor,nfc_south
NYG,2019,outdoor,nfc_east
NYJ,2019,outdoor,afc_east
OAK,2019,outdoor,afc_west
PHI,2019,outdoor,nfc_east
PIT,2019,outdoor,afc_north
SEA,2019,outdoor,nfc_west
SF,2019,outdoor,nfc_west
TB,2019,outdoor,nfc_south
TEN,2019,outdoor,afc_south
WAS,2019,outdoor,nfc_east
ARI,2018,retractable,nfc_west
ATL,2018,retractable,nfc_south
BAL,2018,outdoor,afc_north
BUF,2018,outdoor,afc_east
CAR,2018,outdoor,nfc_south
CHI,2018,outdoor,nfc_north
CIN,2018,outdoor,afc_north
CLE,2018,outdoor,afc_north
DAL,2018,retractable,nfc_east
DEN,2018,outdoor,afc_west
DET,2018,indoor,nfc_north
GB,2018,outdoor,nfc_north
HOU,2018,retractable,afc_south
IND,2018,retractable,afc_south
JAX,2018,outdoor,afc_south
KC,2018,outdoor,afc_west
LA,2018,outdoor,nfc_west
LAC,2018,outdoor,afc_west
MIA,2018,outdoor,afc_east
MIN,2018,indoor,nfc_north
NE,2018,outdoor,afc_east
NO,2018,indoor,nfc_south
NYG,2018,outdoor,nfc_east
NYJ,2018,outdoor,afc_east
OAK,2018,outdoor,afc_west
PHI,2018,outdoor,nfc_east
PIT,2018,outdoor,afc_north
SEA,2018,outdoor,nfc_west
SF,2018,outdoor,nfc_west
TB,2018,outdoor,nfc_south
TEN,2018,outdoor,afc_south
WAS,2018,outdoor,nfc_east
ARI,2017,retractable,nfc_west
ATL,2017,retractable,nfc_south
BAL,2017,outdoor,afc_north
BUF,2017,outdoor,afc_east
CAR,2017,outdoor,nfc_south
CHI,2017,outdoor,nfc_north
CIN,2017,outdoor,afc_north
CLE,2017,outdoor,afc_north
DAL,2017,retractable,nfc_east
DEN,2017,outdoor,afc_west
DET,2017,indoor,nfc_north
GB,2017,outdoor,nfc_north
HOU,2017,retractable,afc_south
IND,2017,retractable,afc_south
JAX,2017,outdoor,afc_south
KC,2017,outdoor,afc_west
LA,2017,outdoor,nfc_west
LAC,2017,outdoor,afc_west
MIA,2017,outdoor,afc_east
MIN,2017,indoor,nfc_north
NE,2017,outdoor,afc_east
NO,2017,indoor,nfc_south
NYG,2017,outdoor,nfc_east
NYJ,2017,outdoor,afc_east
OAK,2017,outdoor,afc_west
PHI,2017,outdoor,nfc_east
PIT,2017,outdoor,afc_north
SEA,2017,outdoor,nfc_west
SF,2017,outdoor,nfc_west
TB,2017,outdoor,nfc_south
TEN,2017,outdoor,afc_south
WAS,2017,outdoor,nfc_east
ARI,2016,retractable,nfc_west
ATL,2016,retractable,nfc_south
BAL,2016,outdoor,afc_north
BUF,2016,outdoor,afc_east
CAR,2016,outdoor,nfc_south
CHI,2016,outdoor,nfc_north
CIN,2016,outdoor,afc_north
CLE,2016,outdoor,afc_north
DAL,2016,retractable,nfc_east
DEN,2016,outdoor,afc_west
DET,2016,indoor,nfc_north
GB,2016,outdoor,nfc_north
HOU,2016,retractable,afc_south
IND,2016,retractable,afc_south
JAC,2016,outdoor,afc_south
JAX,2016,outdoor,afc_south
KC,2016,outdoor,afc_west
LA,2016,outdoor,nfc_west
MIA,2016,outdoor,afc_east
MIN,2016,indoor,nfc_north
NE,2016,outdoor,afc_east
NO,2016,indoor,nfc_south
NYG,2016,outdoor,nfc_east
NYJ,2016,outdoor,afc_east
OAK,2016,outdoor,afc_west
PHI,2016,outdoor,nfc_east
PIT,2016,outdoor,afc_north
SEA,2016,outdoor,nfc_west
SD,2016,outdoor,afc_west
SF,2016,outdoor,nfc_west
TB,2016,outdoor,nfc_south
TEN,2016,outdoor,afc_south
WAS,2016,outdoor,nfc_east
ARI,2015,retractable,nfc_west
ATL,2015,indoor,nfc_south
BAL,2015,outdoor,afc_north
BUF,2015,outdoor,afc_east
CAR,2015,outdoor,nfc_south
CHI,2015,outdoor,nfc_north
CIN,2015,outdoor,afc_north
CLE,2015,outdoor,afc_north
DAL,2015,retractable,nfc_east
DEN,2015,outdoor,afc_west
DET,2015,indoor,nfc_north
GB,2015,outdoor,nfc_north
HOU,2015,retractable,afc_south
IND,2015,retractable,afc_south
JAC,2015,outdoor,afc_south
KC,2015,outdoor,afc_west
MIA,2015,outdoor,afc_east
MIN,2015,outdoor,nfc_north
NE,2015,outdoor,afc_east
NO,2015,indoor,nfc_south
NYG,2015,outdoor,nfc_east
NYJ,2015,outdoor,afc_east
OAK,2015,outdoor,afc_west
PHI,2015,outdoor,nfc_east
PIT,2015,outdoor,afc_north
SEA,2015,outdoor,nfc_west
SD,2015,outdoor ,afc_west
SF,2015,outdoor,nfc_west
STL,2015,indoor,nfc_west
TB,2015,outdoor,nfc_south
TEN,2015,outdoor,afc_south
WAS,2015,outdoor,nfc_east
ARI,2014,retractable,nfc_west
ATL,2014,indoor,nfc_south
BAL,2014,outdoor,afc_north
BUF,2014,outdoor,afc_east
CAR,2014,outdoor,nfc_south
CHI,2014,outdoor,nfc_north
CIN,2014,outdoor,afc_north
CLE,2014,outdoor,afc_north
DAL,2014,retractable,nfc_east
DEN,2014,outdoor,afc_west
DET,2014,indoor,nfc_north
GB,2014,outdoor,nfc_north
HOU,2014,retractable,afc_south
IND,2014,retractable,afc_south
JAC,2014,outdoor,afc_south
KC,2014,outdoor,afc_west
MIA,2014,outdoor,afc_east
MIN,2014,outdoor,nfc_north
NE,2014,outdoor,afc_east
NO,2014,indoor,nfc_south
NYG,2014,outdoor,nfc_east
NYJ,2014,outdoor,afc_east
OAK,2014,outdoor,afc_west
PHI,2014,outdoor,nfc_east
PIT,2014,outdoor,afc_north
SEA,2014,outdoor,nfc_west
SD,2014,outdoor ,afc_west
SF,2014,outdoor,nfc_west
STL,2014,indoor,nfc_west
TB,2014,outdoor,nfc_south
TEN,2014,outdoor,afc_south
WAS,2014,outdoor,nfc_east
ARI,2013,retractable,nfc_west
ATL,2013,indoor,nfc_south
BAL,2013,outdoor,afc_north
BUF,2013,outdoor,afc_east
CAR,2013,outdoor,nfc_south
CHI,2013,outdoor,nfc_north
CIN,2013,outdoor,afc_north
CLE,2013,outdoor,afc_north
DAL,2013,retractable,nfc_east
DEN,2013,outdoor,afc_west
DET,2013,indoor,nfc_north
GB,2013,outdoor,nfc_north
HOU,2013,retractable,afc_south
IND,2013,retractable,afc_south
JAC,2013,outdoor,afc_south
KC,2013,outdoor,afc_west
MIA,2013,outdoor,afc_east
MIN,2013,indoor,nfc_north
NE,2013,outdoor,afc_east
NO,2013,indoor,nfc_south
NYG,2013,outdoor,nfc_east
NYJ,2013,outdoor,afc_east
OAK,2013,outdoor,afc_west
PHI,2013,outdoor,nfc_east
PIT,2013,outdoor,afc_north
SEA,2013,outdoor,nfc_west
SD,2013,outdoor ,afc_west
SF,2013,outdoor,nfc_west
STL,2013,indoor,nfc_west
TB,2013,outdoor,nfc_south
TEN,2013,outdoor,afc_south
WAS,2013,outdoor,nfc_east
ARI,2012,retractable,nfc_west
ATL,2012,indoor,nfc_south
BAL,2012,outdoor,afc_north
BUF,2012,outdoor,afc_east
CAR,2012,outdoor,nfc_south
CHI,2012,outdoor,nfc_north
CIN,2012,outdoor,afc_north
CLE,2012,outdoor,afc_north
DAL,2012,retractable,nfc_east
DEN,2012,outdoor,afc_west
DET,2012,indoor,nfc_north
GB,2012,outdoor,nfc_north
HOU,2012,retractable,afc_south
IND,2012,retractable,afc_south
JAC,2012,outdoor,afc_south
KC,2012,outdoor,afc_west
MIA,2012,outdoor,afc_east
MIN,2012,indoor,nfc_north
NE,2012,outdoor,afc_east
NO,2012,indoor,nfc_south
NYG,2012,outdoor,nfc_east
NYJ,2012,outdoor,afc_east
OAK,2012,outdoor,afc_west
PHI,2012,outdoor,nfc_east
PIT,2012,outdoor,afc_north
SEA,2012,outdoor,nfc_west
SD,2012,outdoor ,afc_west
SF,2012,outdoor,nfc_west
STL,2012,indoor,nfc_west
TB,2012,outdoor,nfc_south
TEN,2012,outdoor,afc_south
WAS,2012,outdoor,nfc_east
ARI,2011,retractable,nfc_west
ATL,2011,indoor,nfc_south
BAL,2011,outdoor,afc_north
BUF,2011,outdoor,afc_east
CAR,2011,outdoor,nfc_south
CHI,2011,outdoor,nfc_north
CIN,2011,outdoor,afc_north
CLE,2011,outdoor,afc_north
DAL,2011,retractable,nfc_east
DEN,2011,outdoor,afc_west
DET,2011,indoor,nfc_north
GB,2011,outdoor,nfc_north
HOU,2011,retractable,afc_south
IND,2011,retractable,afc_south
JAC,2011,outdoor,afc_south
KC,2011,outdoor,afc_west
MIA,2011,outdoor,afc_east
MIN,2011,indoor,nfc_north
NE,2011,outdoor,afc_east
NO,2011,indoor,nfc_south
NYG,2011,outdoor,nfc_east
NYJ,2011,outdoor,afc_east
OAK,2011,outdoor,afc_west
PHI,2011,outdoor,nfc_east
PIT,2011,outdoor,afc_north
SEA,2011,outdoor,nfc_west
SD,2011,outdoor ,afc_west
SF,2011,outdoor,nfc_west
STL,2011,indoor,nfc_west
TB,2011,outdoor,nfc_south
TEN,2011,outdoor,afc_south
WAS,2011,outdoor,nfc_east
ARI,2010,retractable,nfc_west
ATL,2010,indoor,nfc_south
BAL,2010,outdoor,afc_north
BUF,2010,outdoor,afc_east
CAR,2010,outdoor,nfc_south
CHI,2010,outdoor,nfc_north
CIN,2010,outdoor,afc_north
CLE,2010,outdoor,afc_north
DAL,2010,retractable,nfc_east
DEN,2010,outdoor,afc_west
DET,2010,indoor,nfc_north
GB,2010,outdoor,nfc_north
HOU,2010,retractable,afc_south
IND,2010,retractable,afc_south
JAC,2010,outdoor,afc_south
KC,2010,outdoor,afc_west
MIA,2010,outdoor,afc_east
MIN,2010,indoor,nfc_north
NE,2010,outdoor,afc_east
NO,2010,indoor,nfc_south
NYG,2010,outdoor,nfc_east
NYJ,2010,outdoor,afc_east
OAK,2010,outdoor,afc_west
PHI,2010,outdoor,nfc_east
PIT,2010,outdoor,afc_north
SEA,2010,outdoor,nfc_west
SD,2010,outdoor ,afc_west
SF,2010,outdoor,nfc_west
STL,2010,indoor,nfc_west
TB,2010,outdoor,nfc_south
TEN,2010,outdoor,afc_south
WAS,2010,outdoor,nfc_east
ARI,2009,retractable,nfc_west
ATL,2009,indoor,nfc_south
BAL,2009,outdoor,afc_north
BUF,2009,outdoor,afc_east
CAR,2009,outdoor,nfc_south
CHI,2009,outdoor,nfc_north
CIN,2009,outdoor,afc_north
CLE,2009,outdoor,afc_north
DAL,2009,outdoor ,nfc_east
DEN,2009,outdoor,afc_west
DET,2009,indoor,nfc_north
GB,2009,outdoor,nfc_north
HOU,2009,retractable,afc_south
IND,2009,retractable,afc_south
JAC,2009,outdoor,afc_south
KC,2009,outdoor,afc_west
MIA,2009,outdoor,afc_east
MIN,2009,indoor,nfc_north
NE,2009,outdoor,afc_east
NO,2009,indoor,nfc_south
NYG,2009,outdoor,nfc_east
NYJ,2009,outdoor,afc_east
OAK,2009,outdoor,afc_west
PHI,2009,outdoor,nfc_east
PIT,2009,outdoor,afc_north
SEA,2009,outdoor,nfc_west
SD,2009,outdoor ,afc_west
SF,2009,outdoor,nfc_west
STL,2009,indoor,nfc_west
TB,2009,outdoor,nfc_south
TEN,2009,outdoor,afc_south
WAS,2009,outdoor,nfc_east
